训练日志将同步写入: logs_multi\train_log_20260418_234656.txt

配置已保存到 checkpoints_multi\config_20260418_234656.json
创建数据加载器...

============================================================
使用多场景训练数据（4 种类型等量混合）
  类型: ['crossing', 'many_targets', 'high_maneuver', 'spindle']
============================================================


创建多场景训练集（seed=42）...

============================================================
多场景数据集: 4 种类型 × 500 = 2000 条场景
============================================================
  生成 crossing       × 500 条...
    200/500
    400/500
  生成 many_targets   × 500 条...
    200/500
    400/500
  生成 high_maneuver  × 500 条...
    200/500
    400/500
  生成 spindle        × 500 条...
    200/500
    400/500
数据集生成完毕！

创建多场景验证集（seed=142）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！

创建多场景测试集（seed=242）...

============================================================
多场景数据集: 4 种类型 × 50 = 200 条场景
============================================================
  生成 crossing       × 50 条...
  生成 many_targets   × 50 条...
  生成 high_maneuver  × 50 条...
  生成 spindle        × 50 条...
数据集生成完毕！
测试集 'crossing' 已保存 → checkpoints_multi\test_scenarios_crossing.pkl（50 条）
测试集 'many_targets' 已保存 → checkpoints_multi\test_scenarios_many_targets.pkl（50 条）
测试集 'high_maneuver' 已保存 → checkpoints_multi\test_scenarios_high_maneuver.pkl（50 条）
测试集 'spindle' 已保存 → checkpoints_multi\test_scenarios_spindle.pkl（50 条）
训练集 'crossing' 已保存 → checkpoints_multi\train_scenarios_crossing.pkl（500 条）
训练集 'many_targets' 已保存 → checkpoints_multi\train_scenarios_many_targets.pkl（500 条）
训练集 'high_maneuver' 已保存 → checkpoints_multi\train_scenarios_high_maneuver.pkl（500 条）
训练集 'spindle' 已保存 → checkpoints_multi\train_scenarios_spindle.pkl（500 条）
训练批次数: 813
验证批次数: 82
测试批次数: 82
创建模型...
可训练参数数量: 20,531,992

开始训练...
步骤 0/300000 | 总损失: 4.7180 | 关联损失: 3.3452 | 关联准确率: 0.9% | 滤波损失: 1.3728 | 位置误差: 32562.7m | LR: 1.00e-04

验证中...
验证(全量) - 总损失: 3.4295 | 关联准确率: 73.3% | 位置误差: 32660.3m | OSPA: 0.5149 | 位置OSPA: 0.5149 | 数量OSPA: 0.0000
  分场景关联准确率 → crossing: 67.8% | many_targets: 71.5% | high_maneuver: 76.0% | spindle: 78.4%
保存最佳模型，OSPA: 0.5149
步骤 100/300000 | 总损失: 2.2259 | 关联损失: 0.9356 | 关联准确率: 74.6% | 滤波损失: 1.2904 | 位置误差: 32454.7m | LR: 1.00e-04
步骤 200/300000 | 总损失: 2.1068 | 关联损失: 1.0239 | 关联准确率: 71.9% | 滤波损失: 1.0828 | 位置误差: 30367.7m | LR: 1.00e-04
步骤 300/300000 | 总损失: 1.8569 | 关联损失: 1.0537 | 关联准确率: 70.5% | 滤波损失: 0.8032 | 位置误差: 25577.5m | LR: 1.00e-04
步骤 400/300000 | 总损失: 1.7820 | 关联损失: 1.0290 | 关联准确率: 71.0% | 滤波损失: 0.7530 | 位置误差: 24624.5m | LR: 1.00e-04
步骤 500/300000 | 总损失: 1.8587 | 关联损失: 1.0937 | 关联准确率: 68.6% | 滤波损失: 0.7650 | 位置误差: 25487.6m | LR: 1.00e-04
步骤 600/300000 | 总损失: 1.3825 | 关联损失: 0.9441 | 关联准确率: 73.3% | 滤波损失: 0.4383 | 位置误差: 18196.1m | LR: 1.00e-04
步骤 700/300000 | 总损失: 1.3070 | 关联损失: 0.8978 | 关联准确率: 71.2% | 滤波损失: 0.4092 | 位置误差: 16878.3m | LR: 1.00e-04
步骤 800/300000 | 总损失: 1.2714 | 关联损失: 0.7977 | 关联准确率: 71.9% | 滤波损失: 0.4737 | 位置误差: 18162.9m | LR: 1.00e-04
步骤 900/300000 | 总损失: 1.0776 | 关联损失: 0.6995 | 关联准确率: 76.1% | 滤波损失: 0.3781 | 位置误差: 15740.5m | LR: 1.00e-04
步骤 1000/300000 | 总损失: 1.0718 | 关联损失: 0.7593 | 关联准确率: 71.2% | 滤波损失: 0.3125 | 位置误差: 14166.6m | LR: 1.00e-04
步骤 1100/300000 | 总损失: 0.8642 | 关联损失: 0.5897 | 关联准确率: 76.9% | 滤波损失: 0.2745 | 位置误差: 12282.6m | LR: 1.00e-04
步骤 1200/300000 | 总损失: 0.8990 | 关联损失: 0.6623 | 关联准确率: 75.6% | 滤波损失: 0.2368 | 位置误差: 11198.8m | LR: 1.00e-04
步骤 1300/300000 | 总损失: 0.6812 | 关联损失: 0.5400 | 关联准确率: 78.2% | 滤波损失: 0.1412 | 位置误差: 9010.4m | LR: 1.00e-04
步骤 1400/300000 | 总损失: 0.6569 | 关联损失: 0.5198 | 关联准确率: 78.3% | 滤波损失: 0.1371 | 位置误差: 8108.6m | LR: 1.00e-04
步骤 1500/300000 | 总损失: 0.5069 | 关联损失: 0.3920 | 关联准确率: 82.6% | 滤波损失: 0.1149 | 位置误差: 6808.1m | LR: 1.00e-04
步骤 1600/300000 | 总损失: 0.4987 | 关联损失: 0.4031 | 关联准确率: 81.6% | 滤波损失: 0.0956 | 位置误差: 6258.0m | LR: 1.00e-04
步骤 1700/300000 | 总损失: 0.5352 | 关联损失: 0.4618 | 关联准确率: 79.0% | 滤波损失: 0.0734 | 位置误差: 5918.1m | LR: 1.00e-04
步骤 1800/300000 | 总损失: 0.5499 | 关联损失: 0.4502 | 关联准确率: 80.3% | 滤波损失: 0.0997 | 位置误差: 6333.7m | LR: 1.00e-04
步骤 1900/300000 | 总损失: 0.5400 | 关联损失: 0.4225 | 关联准确率: 81.1% | 滤波损失: 0.1175 | 位置误差: 6922.1m | LR: 1.00e-04
步骤 2000/300000 | 总损失: 0.4953 | 关联损失: 0.4007 | 关联准确率: 83.3% | 滤波损失: 0.0945 | 位置误差: 6294.2m | LR: 1.00e-04
步骤 2100/300000 | 总损失: 0.5180 | 关联损失: 0.4513 | 关联准确率: 79.0% | 滤波损失: 0.0667 | 位置误差: 5279.3m | LR: 1.00e-04
步骤 2200/300000 | 总损失: 0.3698 | 关联损失: 0.3295 | 关联准确率: 84.7% | 滤波损失: 0.0403 | 位置误差: 4177.4m | LR: 1.00e-04
步骤 2300/300000 | 总损失: 0.4288 | 关联损失: 0.3585 | 关联准确率: 84.1% | 滤波损失: 0.0703 | 位置误差: 5079.9m | LR: 1.00e-04
步骤 2400/300000 | 总损失: 0.4187 | 关联损失: 0.3590 | 关联准确率: 85.0% | 滤波损失: 0.0598 | 位置误差: 4265.9m | LR: 1.00e-04
步骤 2500/300000 | 总损失: 0.3707 | 关联损失: 0.3329 | 关联准确率: 84.4% | 滤波损失: 0.0378 | 位置误差: 3673.1m | LR: 1.00e-04
步骤 2600/300000 | 总损失: 0.3942 | 关联损失: 0.3417 | 关联准确率: 83.9% | 滤波损失: 0.0525 | 位置误差: 4249.7m | LR: 1.00e-04
步骤 2700/300000 | 总损失: 0.3615 | 关联损失: 0.3320 | 关联准确率: 82.9% | 滤波损失: 0.0294 | 位置误差: 3506.8m | LR: 1.00e-04
步骤 2800/300000 | 总损失: 0.3520 | 关联损失: 0.2971 | 关联准确率: 86.1% | 滤波损失: 0.0548 | 位置误差: 3812.5m | LR: 1.00e-04
步骤 2900/300000 | 总损失: 0.3530 | 关联损失: 0.3207 | 关联准确率: 84.1% | 滤波损失: 0.0323 | 位置误差: 3176.5m | LR: 1.00e-04
步骤 3000/300000 | 总损失: 0.3846 | 关联损失: 0.3403 | 关联准确率: 84.3% | 滤波损失: 0.0444 | 位置误差: 4048.4m | LR: 1.00e-04
步骤 3100/300000 | 总损失: 0.3184 | 关联损失: 0.2800 | 关联准确率: 85.5% | 滤波损失: 0.0383 | 位置误差: 3167.7m | LR: 1.00e-04
步骤 3200/300000 | 总损失: 0.3216 | 关联损失: 0.2889 | 关联准确率: 86.0% | 滤波损失: 0.0327 | 位置误差: 3230.7m | LR: 1.00e-04
步骤 3300/300000 | 总损失: 0.3073 | 关联损失: 0.2766 | 关联准确率: 86.8% | 滤波损失: 0.0307 | 位置误差: 2875.4m | LR: 1.00e-04
步骤 3400/300000 | 总损失: 0.2922 | 关联损失: 0.2495 | 关联准确率: 87.8% | 滤波损失: 0.0428 | 位置误差: 3395.2m | LR: 1.00e-04
步骤 3500/300000 | 总损失: 0.3123 | 关联损失: 0.2726 | 关联准确率: 88.0% | 滤波损失: 0.0397 | 位置误差: 3119.2m | LR: 1.00e-04
步骤 3600/300000 | 总损失: 0.3097 | 关联损失: 0.2774 | 关联准确率: 85.5% | 滤波损失: 0.0323 | 位置误差: 2932.7m | LR: 1.00e-04
步骤 3700/300000 | 总损失: 0.3166 | 关联损失: 0.2871 | 关联准确率: 86.5% | 滤波损失: 0.0295 | 位置误差: 3249.9m | LR: 1.00e-04
步骤 3800/300000 | 总损失: 0.2822 | 关联损失: 0.2578 | 关联准确率: 88.4% | 滤波损失: 0.0244 | 位置误差: 2668.6m | LR: 1.00e-04
步骤 3900/300000 | 总损失: 0.3125 | 关联损失: 0.2905 | 关联准确率: 86.0% | 滤波损失: 0.0220 | 位置误差: 2536.2m | LR: 1.00e-04
步骤 4000/300000 | 总损失: 0.2914 | 关联损失: 0.2551 | 关联准确率: 87.6% | 滤波损失: 0.0364 | 位置误差: 2847.1m | LR: 1.00e-04
步骤 4100/300000 | 总损失: 0.2714 | 关联损失: 0.2484 | 关联准确率: 88.1% | 滤波损失: 0.0230 | 位置误差: 2556.3m | LR: 1.00e-04
步骤 4200/300000 | 总损失: 0.2714 | 关联损失: 0.2457 | 关联准确率: 88.3% | 滤波损失: 0.0257 | 位置误差: 2779.9m | LR: 1.00e-04
步骤 4300/300000 | 总损失: 0.2269 | 关联损失: 0.2162 | 关联准确率: 89.1% | 滤波损失: 0.0107 | 位置误差: 1837.4m | LR: 1.00e-04
步骤 4400/300000 | 总损失: 0.3017 | 关联损失: 0.2724 | 关联准确率: 87.0% | 滤波损失: 0.0293 | 位置误差: 2676.3m | LR: 1.00e-04
步骤 4500/300000 | 总损失: 0.2300 | 关联损失: 0.2092 | 关联准确率: 89.4% | 滤波损失: 0.0208 | 位置误差: 2328.3m | LR: 1.00e-04
